company,country,segment,why_fit,evidence_url,signal_date_or_source,role_to_approach,verification_status
BIOTRONIK SE & Co. KG,Germany,Implantable active devices,"Company site lists implantable pacemakers, ICDs, CRT, insertable monitors, SCS - implantable portfolio implies high-class/legacy-transition and EUDAMED/UDI volume (class not verified per device)",https://www.biotronik.com/en-int,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Heraeus Medical GmbH,Germany,Class III bone cement,"Site states bone cements (COPAL, PALACOS) are Class III and MDR certified - large SKU/label/IFU language-version set",https://www.heraeus-medical.com/en,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
ZEISS Meditec (Carl Zeiss Meditec AG),Germany,Ophthalmic implants and systems,"Site lists IOLs, OCT, surgical microscopes; multi-market labelling/IFU variants",https://www.zeiss.com/meditec/en/home.html,Company site fetched 2026-09-23,Head of RA / RA operations manager,public-source-verified
implantcast GmbH,Germany,Orthopaedic implants,"Site lists primary, revision and tumour endoprostheses (implantable)",https://www.implantcast.de/en/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
KARL STORZ SE & Co. KG,Germany,Endoscopy,Broad endoscopy portfolio across many specialties - large controlled-record and UDI population,https://www.karlstorz.com/,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Drägerwerk AG & Co. KGaA,Germany,Hospital devices,"Ventilators, monitoring, anaesthesia machines - broad portfolio",https://www.draeger.com/en-us_us,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Fresenius Medical Care,Germany,Dialysis devices,"Site lists haemodialysis machines, dialysers, PD systems, apheresis",https://www.freseniusmedicalcare.com/en/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
MIETHKE GmbH & Co. KG,Germany,Implantable neuro shunts,Site lists hydrocephalus shunt systems (implantable); mid-size portfolio,https://www.miethke.com/en/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Brainlab AG,Germany,Surgical software/hardware,Site lists software and hardware devices for surgery/radiosurgery,https://www.brainlab.com/,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Merete GmbH,Germany,Orthopaedic implants,"Site lists hip implants, BioBall, spacers/bone cement; owner-operated mid-size",https://www.merete.de/en/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Ottobock SE & Co. KGaA,Germany,Prosthetics/orthotics,"Site lists prostheses, orthoses, wheelchairs; multilingual labels/IFUs",https://www.ottobock.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Erbe Elektromedizin GmbH,Germany,Electrosurgery,German medtech manufacturer (Erbe Group site),https://en.erbegroup.com/en-en/global-home,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
CeramTec GmbH (medical),Germany,Ceramic implants,Site lists BIOLOX ceramic hip implants and dental ceramics (implantable),https://www.ceramtec-group.com/en,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
B. Braun Melsungen AG (Aesculap),Germany,Surgical/implant portfolio,"Aesculap is a B. Braun brand: instruments, sutures, kits - very large SKU population",https://www.bbraun.com/en/about-us/company/facts-and-figures/aesculap-partner-for-surgery.html,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Xeltis,Netherlands,Implantable vascular conduit,"Site: bioresorbable vascular access conduit aXess (implant), commercial in Europe, trials ongoing",https://www.xeltis.com,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Pie Medical Imaging,Netherlands,Cardiovascular software,"Site lists CAAS, 3mensio cardiovascular analysis software (MDR software)",https://www.piemedicalimaging.com/,Company site fetched 2026-09-23,RA/QA manager,public-source-verified
Ophtec B.V.,Netherlands,Intraocular lenses,Site: IOLs for cataract and refractive surgery (implantable),https://www.ophtec.com/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
