id,en_term,da_term,domain,subdomain,source_ref,source_url,context_en,context_da,status,confidence,added_utc,job_run
TB-0001,medical device,medicinsk udstyr,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0002,manufacturer,fabrikant,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0003,authorised representative,bemyndiget repræsentant,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0004,importer,importør,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0005,distributor,distributør,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0006,notified body,bemyndiget organ,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0007,conformity assessment,overensstemmelsesvurdering,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0008,instructions for use,brugsanvisning,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0009,intended purpose,erklæret formål,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0010,post-market surveillance,"overvågning, efter at udstyret er bragt i omsætning",regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
